gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
219,TAOK1,60732,KRAS,COAD
1212,NEDD8,60732,KRAS,COAD
2031,GNL3L,60732,KRAS,COAD
2904,TUBGCP5,60732,KRAS,COAD
2986,RRP9,60732,KRAS,COAD
3834,DNAJC11,60732,KRAS,COAD
5583,SEH1L,60732,KRAS,COAD
5646,OR10AG1,60732,KRAS,COAD
7332,BLM,17757,KLF16,COAD
7332,BLM,40212,SIX5,COAD
7332,BLM,61629,RPL7,COAD
7332,BLM,11325,PRDM16,COAD
7332,BLM,91516,PEX3,COAD
7332,BLM,18548,RPL23,COAD
7332,BLM,66105,PPM1M,COAD
7332,BLM,95668,RPL23A,COAD
7332,BLM,24995,COQ3,COAD
7332,BLM,12239,TTLL1,COAD
7332,BLM,68483,COPS6,COAD
7332,BLM,22049,RPS8,COAD
7332,BLM,47825,PIK3C3,COAD
7332,BLM,24016,JAK2,COAD
7332,BLM,74833,ZNF768,COAD
7332,BLM,75494,SSH1,COAD
7332,BLM,22868,SRCAP,COAD
7332,BLM,36963,CTBP2,COAD
7332,BLM,54968,TBC1D25,COAD
7332,BLM,67455,PTGER1,COAD
7332,BLM,81197,DNAJC4,COAD
7332,BLM,168,CREBZF,COAD
7332,BLM,26950,CARS2,COAD
7332,BLM,61342,GEN1,COAD
7332,BLM,24802,MFSD10,COAD
7332,BLM,28708,MAFA,COAD
7332,BLM,55028,KPNA6,COAD
7332,BLM,58873,PHOSPHO1,COAD
7332,BLM,14197,PFDN6,COAD
7332,BLM,48513,INSL3,COAD
7332,BLM,80723,TRPC1,COAD
7332,BLM,35946,TSSC4,COAD
7332,BLM,44924,ELK4,COAD
7332,BLM,63582,RPL32,COAD
7332,BLM,72612,ITGA6,COAD
7332,BLM,41338,BTN3A2,COAD
7332,BLM,34074,DUSP18,COAD
7332,BLM,7134,DDX46,COAD
7332,BLM,84798,KREMEN2,COAD
7332,BLM,40454,PLEKHG3,COAD
7332,BLM,69823,GPC1,COAD
7332,BLM,95636,TXN2,COAD
7332,BLM,28186,GRB10,COAD
7332,BLM,16503,UTS2R,COAD
7332,BLM,72577,POLR2I,COAD
7332,BLM,46309,KCNC3,COAD
7332,BLM,92267,CEBPD,COAD
7332,BLM,11708,SYT7,COAD
7332,BLM,57307,GTF2H1,COAD
7332,BLM,32496,NDST2,COAD
7332,BLM,43857,RPS27A,COAD
7332,BLM,80756,RPL36,COAD
7332,BLM,29221,CDCP1,COAD
7332,BLM,84454,SLC35C1,COAD
7332,BLM,61806,SWAP70,COAD
7332,BLM,48554,DNAJB6,COAD
7332,BLM,26317,NDUFA13,COAD
7332,BLM,69273,GATA2,COAD
7332,BLM,36327,FEV,COAD
7332,BLM,52948,HOXB3,COAD
7332,BLM,45589,RPLP0,COAD
7332,BLM,37432,JMJD6,COAD
7332,BLM,30153,ISG15,COAD
7332,BLM,84204,FGF8,COAD
7332,BLM,41201,BMP2K,COAD
7332,BLM,67619,CSNK1E,COAD
7332,BLM,78138,CNP,COAD
7332,BLM,14870,PINK1,COAD
7332,BLM,34864,TRIM8,COAD
7332,BLM,14977,CNPY2,COAD
7332,BLM,96017,CLPP,COAD
7332,BLM,42204,MED22,COAD
7332,BLM,6642,TOPBP1,COAD
7332,BLM,32252,CSNK2B,COAD
7332,BLM,2490,USP5,COAD
7332,BLM,94475,PDK4,COAD
7332,BLM,66921,GPR62,COAD
7332,BLM,22139,SORBS3,COAD
7332,BLM,37860,TAB3,COAD
7332,BLM,11381,MAPK9,COAD
7332,BLM,76049,RPL31,COAD
7332,BLM,78016,UBQLN2,COAD
7332,BLM,90190,SUPT6H,COAD
7332,BLM,2222,KRT6C,COAD
7332,BLM,63218,KCNQ4,COAD
7332,BLM,9758,EGFR,COAD
7332,BLM,65030,RPL13,COAD
7332,BLM,80681,ZNF747,COAD
7332,BLM,79273,PSMA7,COAD
7332,BLM,20321,THG1L,COAD
7332,BLM,53943,CITED4,COAD
7332,BLM,92499,IFT172,COAD
7332,BLM,24654,RAX,COAD
7332,BLM,29045,PDZK1IP1,COAD
7332,BLM,35125,FSTL3,COAD
7332,BLM,15552,TUBG1,COAD
7332,BLM,7664,SUGT1,COAD
7332,BLM,75015,P2RY11,COAD
7332,BLM,79701,STK24,COAD
7332,BLM,33890,INS,COAD
7332,BLM,67634,NDUFB2,COAD
7332,BLM,81585,POLR2D,COAD
7332,BLM,2885,GALR3,COAD
7332,BLM,86517,KIF3B,COAD
7332,BLM,94999,GPD1,COAD
7332,BLM,88294,CIC,COAD
7332,BLM,7328,HNF4A,COAD
7332,BLM,19734,NCOR2,COAD
7332,BLM,31088,CDC42BPA,COAD
7332,BLM,54244,CAV2,COAD
7332,BLM,30493,GGA3,COAD
7332,BLM,91566,SLC25A42,COAD
7332,BLM,161,MAGED2,COAD
7332,BLM,85646,CSF3,COAD
7332,BLM,59661,CHST14,COAD
7332,BLM,43716,FBXL16,COAD
7332,BLM,88930,FIBCD1,COAD
7332,BLM,15064,GSK3B,COAD
7332,BLM,418,SMAD7,COAD
7332,BLM,85769,CORT,COAD
7332,BLM,50289,FERMT1,COAD
7332,BLM,79570,DNAJA1,COAD
7332,BLM,92691,THOC2,COAD
7332,BLM,55671,FBXL6,COAD
7332,BLM,26687,FKBP3,COAD
7332,BLM,80142,RPS15A,COAD
7332,BLM,41272,PPM1A,COAD
7332,BLM,77909,KCTD9,COAD
7332,BLM,40798,GSX1,COAD
7332,BLM,24734,LSM2,COAD
7332,BLM,38919,RNPEPL1,COAD
7332,BLM,1121,POLDIP2,COAD
7332,BLM,62728,NAALADL2,COAD
7332,BLM,85384,PSMD6,COAD
7332,BLM,70405,TGFBR3,COAD
7332,BLM,60031,SEC13,COAD
7332,BLM,65340,SRRT,COAD
7332,BLM,88517,CEND1,COAD
7332,BLM,4508,PAQR6,COAD
7332,BLM,73866,SYT1,COAD
7332,BLM,28718,SH3BP2,COAD
7332,BLM,41645,IFT74,COAD
7332,BLM,45904,MCC,COAD
7332,BLM,9970,VCP,COAD
7332,BLM,63930,TRIM15,COAD
7332,BLM,23144,DLGAP4,COAD
7332,BLM,84961,KIF20B,COAD
7332,BLM,46378,SRXN1,COAD
7332,BLM,69296,PDK2,COAD
7332,BLM,38726,RCN2,COAD
7332,BLM,41426,TAF6,COAD
7332,BLM,67164,PFKFB2,COAD
7332,BLM,44465,TMEM79,COAD
7332,BLM,69767,COPA,COAD
7332,BLM,14786,CDC42EP5,COAD
7332,BLM,41444,TSTA3,COAD
7332,BLM,91952,TREX2,COAD
7332,BLM,49185,ZNF250,COAD
7332,BLM,82615,NPTN,COAD
7332,BLM,42341,SGSM2,COAD
7332,BLM,37869,C7orf31,COAD
7332,BLM,68119,MARCKS,COAD
7332,BLM,61732,FYCO1,COAD
7332,BLM,30262,RAMP1,COAD
7332,BLM,91639,SLC39A8,COAD
7332,BLM,60019,MNX1,COAD
7332,BLM,37105,MYH9,COAD
7332,BLM,58486,OVOL1,COAD
7332,BLM,29014,TAF7,COAD
7332,BLM,8588,TRMT6,COAD
7332,BLM,80598,EGFL8,COAD
7332,BLM,64660,IRX2,COAD
7332,BLM,18530,FZD5,COAD
7332,BLM,17884,STC2,COAD
7332,BLM,83128,LMNA,COAD
7332,BLM,24720,RPS19,COAD
7332,BLM,15003,ETV1,COAD
7332,BLM,38054,SRM,COAD
7332,BLM,7567,HES5,COAD
7332,BLM,27652,EIF4A2,COAD
7332,BLM,93538,SMARCAL1,COAD
7332,BLM,58426,RAD23B,COAD
7332,BLM,52844,RAB5A,COAD
7332,BLM,57256,SOHLH1,COAD
7332,BLM,76932,PPP1R3G,COAD
7332,BLM,4039,PPL,COAD
7332,BLM,14987,PIGB,COAD
7332,BLM,43086,CCDC14,COAD
7332,BLM,25392,POU3F3,COAD
7332,BLM,95840,SLC26A11,COAD
7332,BLM,63913,UBASH3B,COAD
7332,BLM,81985,PSMD3,COAD
7332,BLM,46952,DOCK9,COAD
7332,BLM,32546,PDE4A,COAD
7332,BLM,75244,TMEM65,COAD
7332,BLM,47745,RSAD1,COAD
7332,BLM,34414,RASGEF1A,COAD
7332,BLM,84394,RHOB,COAD
7332,BLM,5862,TYRO3,COAD
7332,BLM,68306,SSH2,COAD
7332,BLM,68884,MGAT4A,COAD
7332,BLM,22875,ENOPH1,COAD
7332,BLM,4689,MESP2,COAD
7332,BLM,1589,ZFPM1,COAD
7332,BLM,12038,HOXA3,COAD
7332,BLM,47399,MYL6B,COAD
7332,BLM,92798,CLN8,COAD
7332,BLM,83582,MCOLN1,COAD
7332,BLM,16078,SNW1,COAD
7332,BLM,8401,MFRP,COAD
7332,BLM,76000,WDR36,COAD
7332,BLM,82669,EBP,COAD
7332,BLM,72240,SH3BP5L,COAD
7332,BLM,8795,NDUFB7,COAD
7332,BLM,83251,VWA1,COAD
7332,BLM,53079,HM13,COAD
7332,BLM,66955,KCNIP3,COAD
7332,BLM,34060,SNRNP200,COAD
7332,BLM,9406,SEMA3F,COAD
7332,BLM,85540,CWC25,COAD
7332,BLM,32801,TBC1D16,COAD
7332,BLM,91729,HTR6,COAD
7332,BLM,16713,YME1L1,COAD
7332,BLM,56070,PACSIN3,COAD
7332,BLM,46337,L3MBTL2,COAD
7332,BLM,92222,CWF19L1,COAD
7332,BLM,49221,PEX6,COAD
7332,BLM,86757,TJP3,COAD
7332,BLM,75118,HHAT,COAD
7332,BLM,66715,PPP1R3E,COAD
7332,BLM,85602,PRPH,COAD
7332,BLM,22349,GSTM2,COAD
7332,BLM,44909,SLC2A13,COAD
7332,BLM,5221,TSPYL1,COAD
7332,BLM,61242,GAB2,COAD
7332,BLM,41097,CC2D1A,COAD
7332,BLM,44890,MICAL1,COAD
7332,BLM,80254,GPS1,COAD
7332,BLM,10443,TUBGCP2,COAD
7332,BLM,35059,GADD45B,COAD
7332,BLM,91707,ENPP5,COAD
7332,BLM,6423,ISL2,COAD
7332,BLM,21606,FTL,COAD
7332,BLM,11664,PLCG2,COAD
7332,BLM,68693,HSPG2,COAD
7332,BLM,52975,PRTN3,COAD
7332,BLM,23101,PSMD4,COAD
7332,BLM,46623,SERPINE1,COAD
7332,BLM,69689,CSK,COAD
7332,BLM,72356,GOPC,COAD
7332,BLM,24786,LONP2,COAD
7332,BLM,76683,CDK2AP2,COAD
7332,BLM,37546,PRMT1,COAD
7332,BLM,41732,TMEM70,COAD
7332,BLM,3797,PTCH1,COAD
7332,BLM,68226,TSEN2,COAD
7332,BLM,58406,CCT6A,COAD
7332,BLM,88392,FADD,COAD
7332,BLM,55463,OSBPL1A,COAD
7332,BLM,19605,PSMC3,COAD
7332,BLM,71,NR2F6,COAD
7332,BLM,40616,ZNF576,COAD
7332,BLM,65391,CLINT1,COAD
7332,BLM,52915,S100A14,COAD
7332,BLM,55988,PGP,COAD
7332,BLM,11354,UBC,COAD
7332,BLM,84474,RPE,COAD
7332,BLM,54213,RPL14,COAD
7332,BLM,4574,RNF126,COAD
7332,BLM,30423,GRIPAP1,COAD
7332,BLM,28803,HPS5,COAD
7332,BLM,70516,ITPR1,COAD
7332,BLM,46163,PPM1F,COAD
7332,BLM,60165,POLR2J,COAD
7332,BLM,39134,DTYMK,COAD
7332,BLM,25557,RPL5,COAD
7332,BLM,6692,RASSF7,COAD
7332,BLM,39585,SNRPG,COAD
7332,BLM,16967,ERGIC1,COAD
7332,BLM,1474,EFNA2,COAD
7332,BLM,43770,DNAJB1,COAD
7332,BLM,75743,FRG1,COAD
7332,BLM,24090,ST8SIA6,COAD
7332,BLM,81226,SPINT2,COAD
7332,BLM,34364,DDX54,COAD
7332,BLM,71554,PSMD11,COAD
7332,BLM,13530,UBA52,COAD
7332,BLM,30826,FER,COAD
7332,BLM,45868,SART1,COAD
7332,BLM,60434,SLC25A30,COAD
7332,BLM,18084,FYTTD1,COAD
7332,BLM,174,CTDSP2,COAD
7332,BLM,85344,PIGZ,COAD
7332,BLM,19964,ZNF207,COAD
7332,BLM,8531,FZD2,COAD
7332,BLM,38832,SPTB,COAD
7332,BLM,47156,GJB3,COAD
7332,BLM,71824,JUP,COAD
7332,BLM,55279,RPS14,COAD
7332,BLM,28861,HMG20B,COAD
7332,BLM,59519,RPS13,COAD
7332,BLM,60325,UBQLN4,COAD
7332,BLM,4489,PPP1R3F,COAD
7332,BLM,33288,CD300C,COAD
7332,BLM,44272,TNFRSF13C,COAD
7332,BLM,3572,SMPDL3A,COAD
7332,BLM,21042,RDH13,COAD
7332,BLM,3622,GFRA4,COAD
7332,BLM,37160,RPS18,COAD
7332,BLM,78945,SOX7,COAD
7332,BLM,83345,OPRD1,COAD
7332,BLM,60230,MAPK4,COAD
7332,BLM,83599,CORO1A,COAD
7332,BLM,63590,DAP3,COAD
7332,BLM,76063,SMNDC1,COAD
7332,BLM,18901,RPP25,COAD
7332,BLM,52715,SUPT5H,COAD
7332,BLM,87995,RHOF,COAD
7332,BLM,84976,POFUT2,COAD
7332,BLM,5867,PPP1R15B,COAD
7332,BLM,57087,PSMD1,COAD
7332,BLM,23192,RBM12B,COAD
7332,BLM,11479,TPM2,COAD
7332,BLM,23438,GPI,COAD
7332,BLM,11371,RREB1,COAD
7332,BLM,37044,PPP4C,COAD
7332,BLM,72916,PRPF38A,COAD
7332,BLM,41279,KLF2,COAD
7332,BLM,61743,MKLN1,COAD
7332,BLM,91623,RAD52,COAD
7332,BLM,20087,MBD3,COAD
7332,BLM,69903,BRD2,COAD
7332,BLM,65133,CCDC77,COAD
7332,BLM,19842,PPP1CB,COAD
7332,BLM,14109,C1orf162,COAD
7332,BLM,8682,TRIT1,COAD
7332,BLM,84632,EIF2B4,COAD
7332,BLM,10636,ZNF614,COAD
7332,BLM,42032,RPL37,COAD
7332,BLM,49397,HTR1D,COAD
7332,BLM,67903,ALDH1A3,COAD
7332,BLM,71349,AHR,COAD
7332,BLM,9486,ABCG4,COAD
7332,BLM,90676,BCKDK,COAD
7332,BLM,45137,ARX,COAD
7332,BLM,73227,ADAMTS2,COAD
7332,BLM,86398,APOBEC3B,COAD
7332,BLM,83415,APPBP2,COAD
7332,BLM,72865,ABHD11,COAD
7332,BLM,23892,BAG5,COAD
7332,BLM,89560,ALDH16A1,COAD
7332,BLM,22784,ARCN1,COAD
7332,BLM,3071,ACR,COAD
7332,BLM,41480,APAF1,COAD
7332,BLM,83862,BBS7,COAD
7332,BLM,57610,AMIGO3,COAD
7332,BLM,66519,ARHGAP23,COAD
7332,BLM,61427,ATXN7L1,COAD
7332,BLM,91897,AQR,COAD
7332,BLM,1578,AKR1B1,COAD
7332,BLM,42115,AKR7A2,COAD
7332,BLM,55512,ALDH3B1,COAD
7332,BLM,15425,ACO1,COAD
7332,BLM,33096,BICD2,COAD
7332,BLM,58171,AP1S1,COAD
7332,BLM,6678,ACTR5,COAD
7332,BLM,42121,ARFRP1,COAD
7332,BLM,92449,A1BG,COAD
7332,BLM,47057,ACTR6,COAD
7332,BLM,57981,BGLAP,COAD
7332,BLM,19560,ASH2L,COAD
7332,BLM,43707,AGER,COAD
7332,BLM,63179,AP2A1,COAD
7332,BLM,16729,AP1G1,COAD
7332,BLM,17319,ADAT3,COAD
7332,BLM,49098,ATP2B1,COAD
7332,BLM,30247,ARHGEF12,COAD
7332,BLM,18177,B3GNT6,COAD
7332,BLM,78175,AP3S2,COAD
7332,BLM,20750,AKAP8L,COAD
7332,BLM,2521,AGRN,COAD
7332,BLM,5775,B3GAT3,COAD
13184,ISG20L2,60732,KRAS,COAD
13353,GRIP2,60732,KRAS,COAD
14011,WEE1,86177,MTOR,COAD
14011,WEE1,73372,CHEK1,COAD
19120,TRIM36,60732,KRAS,COAD
19239,SRD5A3,60732,KRAS,COAD
19991,NRXN1,60732,KRAS,COAD
20384,PSMB5,60732,KRAS,COAD
21808,MAPK1,9419,MAPK3,COAD
21808,MAPK1,14011,WEE1,COAD
22289,RIMS1,60732,KRAS,COAD
22553,WBP11P1,60732,KRAS,COAD
23632,DHRS7C,60732,KRAS,COAD
24038,MAGED4,60732,KRAS,COAD
24097,MYLIP,60732,KRAS,COAD
25053,MVP,60732,KRAS,COAD
27180,CCIN,60732,KRAS,COAD
29727,PTTG1,83198,RAPH1,COAD
29727,PTTG1,31180,RBP7,COAD
29727,PTTG1,92110,SLC45A3,COAD
29727,PTTG1,89133,UBE2E3,COAD
29727,PTTG1,90738,FAM13A,COAD
29727,PTTG1,23625,VMA21,COAD
29727,PTTG1,51422,SQLE,COAD
29727,PTTG1,59956,CYP2U1,COAD
29727,PTTG1,35264,SEZ6L2,COAD
29727,PTTG1,25674,ZNF266,COAD
29727,PTTG1,22014,TTC31,COAD
29727,PTTG1,68104,TRIM14,COAD
29727,PTTG1,16177,TBKBP1,COAD
29727,PTTG1,57801,TRAK1,COAD
29727,PTTG1,29141,SARS2,COAD
29727,PTTG1,75972,SRPK3,COAD
29727,PTTG1,75460,TAF4B,COAD
29727,PTTG1,52844,RAB5A,COAD
29727,PTTG1,61528,ZNF362,COAD
29727,PTTG1,23097,ZNF526,COAD
29727,PTTG1,82112,VAT1,COAD
29727,PTTG1,56263,XBP1,COAD
29727,PTTG1,36520,RAB9A,COAD
29727,PTTG1,32720,SORL1,COAD
29727,PTTG1,69303,TRMT5,COAD
29727,PTTG1,13155,RNF41,COAD
29727,PTTG1,18927,TNS3,COAD
29727,PTTG1,84388,RGPD4,COAD
29727,PTTG1,34652,SSR3,COAD
29727,PTTG1,53780,SLC44A2,COAD
29727,PTTG1,28178,SLC7A10,COAD
29727,PTTG1,76063,SMNDC1,COAD
29727,PTTG1,28803,HPS5,COAD
29727,PTTG1,38519,WDR91,COAD
29727,PTTG1,10827,HINT2,COAD
29727,PTTG1,82149,CSPG4,COAD
29727,PTTG1,20427,CBX7,COAD
29727,PTTG1,51251,OGFOD1,COAD
29727,PTTG1,72763,DYRK3,COAD
29727,PTTG1,1393,POLM,COAD
29727,PTTG1,44218,CPSF6,COAD
29727,PTTG1,977,MAPKBP1,COAD
29727,PTTG1,55843,LGALS8,COAD
29727,PTTG1,65153,FZD4,COAD
29727,PTTG1,36047,MGAT1,COAD
29727,PTTG1,89719,NUP88,COAD
29727,PTTG1,80986,CCNI,COAD
29727,PTTG1,71784,GRIN2D,COAD
29727,PTTG1,17187,APOOL,COAD
29727,PTTG1,77326,RICTOR,COAD
29727,PTTG1,26162,PPARGC1B,COAD
29727,PTTG1,91984,CFB,COAD
29727,PTTG1,38878,PAGE5,COAD
29727,PTTG1,35644,PPIH,COAD
29727,PTTG1,7821,MED9,COAD
29727,PTTG1,11924,POLR3K,COAD
29727,PTTG1,93920,DBN1,COAD
29727,PTTG1,36498,MOGS,COAD
29727,PTTG1,789,MYO1B,COAD
29727,PTTG1,68194,PRKCZ,COAD
29727,PTTG1,79757,KIDINS220,COAD
29727,PTTG1,70060,DLG3,COAD
29727,PTTG1,48342,LRRC8A,COAD
29727,PTTG1,84474,RPE,COAD
29727,PTTG1,70717,LRIG3,COAD
29727,PTTG1,85144,DENR,COAD
29727,PTTG1,31455,LMO1,COAD
29727,PTTG1,60291,POTEE,COAD
29727,PTTG1,21390,PTOV1,COAD
29727,PTTG1,59965,MTMR1,COAD
29727,PTTG1,53025,ZNF496,COAD
29727,PTTG1,28718,SH3BP2,COAD
29727,PTTG1,2931,TOM1L1,COAD
29727,PTTG1,51273,TRIP10,COAD
29727,PTTG1,67903,ALDH1A3,COAD
29727,PTTG1,65340,SRRT,COAD
29727,PTTG1,43482,VPS8,COAD
29727,PTTG1,21576,ZNF268,COAD
29727,PTTG1,17848,ZDHHC20,COAD
29727,PTTG1,54968,TBC1D25,COAD
29727,PTTG1,40966,VPS11,COAD
29727,PTTG1,37688,TIMM17A,COAD
29727,PTTG1,60762,RPS6KC1,COAD
29727,PTTG1,86105,RSPRY1,COAD
29727,PTTG1,21706,SLC35F3,COAD
29727,PTTG1,24840,ZNF142,COAD
29727,PTTG1,25465,STK16,COAD
29727,PTTG1,48801,ZNF358,COAD
29727,PTTG1,2091,SERPINB8,COAD
29727,PTTG1,87730,ZMIZ1,COAD
29727,PTTG1,78959,SCAMP2,COAD
29727,PTTG1,79278,SLC35A1,COAD
29727,PTTG1,47397,VDAC1,COAD
29727,PTTG1,91353,USP12,COAD
29727,PTTG1,71417,TMC8,COAD
29727,PTTG1,28621,ZNF574,COAD
29727,PTTG1,89126,RCOR2,COAD
29727,PTTG1,34827,VDAC2,COAD
29727,PTTG1,40308,UGT8,COAD
29727,PTTG1,28208,TJP2,COAD
29727,PTTG1,47480,SAFB2,COAD
29727,PTTG1,76378,STOX1,COAD
29727,PTTG1,161,MAGED2,COAD
29727,PTTG1,22651,CDH22,COAD
29727,PTTG1,62565,MAL2,COAD
29727,PTTG1,67619,CSNK1E,COAD
29727,PTTG1,61802,GPRC5C,COAD
29727,PTTG1,49913,AIF1L,COAD
29727,PTTG1,45403,MTHFD2L,COAD
29727,PTTG1,19043,FAM98A,COAD
29727,PTTG1,91516,PEX3,COAD
29727,PTTG1,2521,AGRN,COAD
29727,PTTG1,72612,ITGA6,COAD
29727,PTTG1,41645,IFT74,COAD
29727,PTTG1,88517,CEND1,COAD
29727,PTTG1,13415,SNX27,COAD
29727,PTTG1,56581,DPP7,COAD
29727,PTTG1,15966,PDE9A,COAD
29727,PTTG1,78175,AP3S2,COAD
29727,PTTG1,27171,DCAF17,COAD
29727,PTTG1,65840,KLF7,COAD
29727,PTTG1,41272,PPM1A,COAD
29727,PTTG1,82484,PCK2,COAD
29727,PTTG1,94475,PDK4,COAD
29727,PTTG1,32252,CSNK2B,COAD
29727,PTTG1,78927,NT5M,COAD
29727,PTTG1,63590,DAP3,COAD
29727,PTTG1,42115,AKR7A2,COAD
29727,PTTG1,4039,PPL,COAD
29727,PTTG1,68884,MGAT4A,COAD
29727,PTTG1,29221,CDCP1,COAD
29727,PTTG1,30182,TMF1,COAD
29727,PTTG1,10511,SLC16A7,COAD
29727,PTTG1,51023,SLC36A1,COAD
29727,PTTG1,3422,IRF6,COAD
